,拼音,解释,例子,用法,谜语,感情,英语,结构,字数,年代,热度,词语解释,出处,正音,辨形,辨析,繁体,组合,歇后语,成语故事
事与愿违,shì yú yuàn wéi,事实与愿望相反。指原来打算做的事没能做到。,不料后来事与愿违，现在这点局面小得很，应酬不开！（茅盾《子夜》十六）,主谓式；作谓语、定语；含贬义。,欲盖反损,贬义,be contrary to what one expects,主谓式,四字,古代,常用,事与愿违,三国 魏 稽康《幽愤》诗：“嗟我愤叹，曾莫能俦。事与愿违，遘兹淹留。”,“与”，不能读作“yǔ”、“yù”。,“与”，不能写作“于”。,事与愿违和“适得其反”都表示“事情的结果与愿望相反”；但事与愿违偏重于“与愿违”；强调人的感情；而“适得其反”偏重于“得其反”；强调结果相反。,事與愿違,,,
死里逃生,sǐ lǐ táo shēng,从极危险的境地中逃脱；幸免于死。,今日死里逃生，夫妻再合。（明 冯梦龙《警世通言》卷十二）,偏正式；作谓语、宾语；含褒义。,亡命之徒,褒义,miss death by a hair's breath,偏正式,四字,古代,常用,死里逃生,《京本通俗小说 冯玉梅团圆》：“今日死里逃生，夫妻再合，乃阴德积善之报也。”,,“逃”，不能写作“淘”。,死里逃生和“九死一生”都包含“在危险之中得到生路”；但死里逃生多用于口语之中；一般指在一次危险中逃脱出来；得以活命；而“九死一生”指多次从危险中逃脱出来；语义范围小；多用于书面语。,死裏逃生,,漏网之鱼,死里逃生
小巧玲珑,xiǎo qiǎo líng lóng,形容东西小而精致。小巧：细小而灵巧；玲珑：精巧细致。,因为西湖的好处是在它的小巧玲珑，就象规模放大了的庭园；琵琶湖那样宏阔的大湖，是没有这种风味的。（郭沫若《革命春秋 创造十年》）,联合式；作谓语、定语、宾语；含褒义。,,褒义,toy（be small and exquisite）,联合式,四字,古代,常用,小巧玲珑,宋 辛弃疾《临江山 戏为山园苍壁解嘲》：“莫笑吾家苍壁小，稜层势欲摩空。相知唯有主人翁。有心雄泰华，无意巧玲珑。”,,“玲珑”，不能写作“令龙”。,,小巧玲瓏,,,小巧玲珑
机不可失,jī bù kě shī,机：时机。好时机不可放过；失掉了不会再来。比喻机会难得。,机不可失，这正是革命力量重新振兴之时。耿可员《孙中山与宋庆龄》第五场,主谓式；作宾语；常与时不再来连用。,航空安全保险,中性,Don't let slip an opportunity（A golden opportunity is not to be missed; Now or never!; Occasion knoks but once）,主谓式,四字,古代,常用,机不可失,五代 安重荣《上石敬瑭表》：“须知机不可失，时不再来。”,“失”，不能读作“shí”。,“失”，不能写作“矢”。,机不可失和“时不再来”；都指不要错过有利的条件；但机不可失偏重在“机”；指时机；机会；“时不再来”偏重在“时”；指时间。,機不可失,,启航赶上了顺船风,机不可失
屈指可数,qū zhǐ kě shǔ,扳着手指就可以数清楚。,中国民族工业就只剩下屈指可数的几项了！（茅盾《子夜》二）,连动式；作谓语、定语；形容突出的人或事。,十个；一二三四五,中性,be able to count on the fingers/on the fingers of one hand（can be counted on one's fingers-very few）,偏正式,四字,古代,常用,屈指可数,唐 韩愈《忆昨行和张十一》：“自期殒命在春序，屈指数日怜婴孩。”,“数”，不能读作“shù”；“指”，不能读作“zhí”。,“数”，不能写作“属”。,屈指可数和“寥寥无几”都表示很少。“寥寥无几”只指数目少；不指日子少。,屈指可數,,,
按部就班,àn bù jiù bān,按：按照；部：类别；班：次序。原意是指按照文章分段布局的需要；而安排好层次；选择、组织好词句。后来表示按照一定的条理、步骤做事。,但黄公俊的祖父，他开始读了书，象一般读书人似的，他按部就班的要将八股型的才学，“货与帝王家”。（郑振铎《黄公俊之最后》）,联合式；作谓语、状语、定语；形容按照老规矩办事。,司局长上任,中性,keep to conventional ways of doing things,联合式,四字,古代,常用,按部就班,西晋 陆机《文赋》：“观古今于须臾，抚四海于一瞬。然后选义按部，考辞就班。”,“班”，不能读作“bǎn”。,“部”，不能写作“步”；“班”，不能写作“斑”。,按部就班与“循序渐进”有别：按部就班突出条理；多用于工作、计划；“循序渐进”强调逐渐；多用于学习、训练。,,,,
翩翩起舞,piān piān qǐ wǔ,轻捷飘逸地跳起舞来。,音乐响起，青年们纷纷走入舞池，一对对恋人翩翩起舞。,偏正式；作谓语、定语；用于描写舞姿。,,中性,,偏正式,四字,古代,常用,翩翩起舞,唐 李白《高句骊》：“翩翩舞广袖，似鸟海东来。”,“翩”，不能读作“biān”。,,,,AABC式,,
稀奇古怪,xī qí gǔ guài,指很少见，很奇异，不同一般。,老残道：“这也罢了，只是你赶紧说你那稀奇古怪的案情罢。”《老残游记》第十三回,作谓语、定语；指奇特的东西。,古奇,中性,fantastic,联合式,四字,近代,常用,稀奇古怪,清邵梅臣《画耕偶录》：“稀奇古怪，我法我派。一钱不值，万钱不卖。”,,,,稀奇古恠,,,
天翻地覆,tiān fān dì fù,形容变化巨大；也形容闹得很凶。覆：翻过来。,改革开放以来，我国农村发生了天翻地覆的变化。,联合式；作谓语、定语、状语、补语；形容变化大。,乾坤,中性,state of extreme confusion as the sky and the earth turning upside down（earth-shaking; upside down）,联合式,四字,古代,常用,天翻地覆,唐 刘商《胡笳十八拍》六：“天翻地覆谁得知？如今正南看北斗。”,,“覆”，不能写作“复”。,见“翻天覆地”。,天飜地覆,,,天翻地覆
大千世界,dà qiān shì jiè,佛教用语。世界的千倍为小千世界；小千世界的千倍为中千世界；中千世界的千倍为大千世界。后泛指广大无边纷纭复杂的世界。,大千世界无奇不有，充满了矛盾。,偏正式；作主语；指广大无边的世界。,,中性,the boundless universe（universe of many universe）,偏正式,四字,古代,常用,大千世界,宋 释道原《景德传灯录 希运禅师》：“长老身材勿量大，笠子太小生。师云：‘虽然如此大千世界总在里许。’”,,,,大千丗界,,,
行云流水,xíng yún liú shuǐ,形容文章自然不受拘束；就像飘浮着的云和流动着的水一样。,结构如行云流水，层次分明，先后呼应。（茅盾《〈力原〉读后感》）,联合式；作宾语、定语；含褒义。,运河,褒义,(of writing style)like floating clouds and flowing water（natural and smooth）,联合式,四字,古代,常用,行云流水,宋 苏轼《与谢民师推官书》：“所示书教及诗赋杂文，观之熟矣；大略如行云流水，初无定质，但常行于所当行，常止于所不可不止。”,“行”，不能读作“háng”。,“流”，不能写作“留”。,,行雲流水,,,行云流水
一朝一夕,yī zhāo yī xī,一个早晨；一个傍晚。指很短的时间之内。,即如今日中倭之构难，究所由来，夫岂一朝一夕之故也哉！（清 严复《论世变之亟》）,联合式；作定语、状语；用于否定句。,明；元宵；二十四小时,中性,in one morning or evening,联合式,四字,古代,常用,一朝一夕,《周易 坤》：“臣弑其君，子弑其父，非一朝一夕之故，其所由来者渐矣。”,“朝”，不能读作“cháo”。,“夕”，不能写作“歹”。,,,ABAC式,,一朝一夕
见怪不怪,jiàn guài bù guài,看见奇怪的事也不以为怪；能泰然处之。指遇事沉稳不慌。,“见怪不怪，其怪自败。”不用砍他，随他去就是了。（清 曹雪芹《红楼梦》第九十四回）,主谓式；作宾语、状语；形容遇事沉着。,经常见到妖怪,中性,face the fearful with no fears（become inured to the mysterious）,紧缩式,四字,古代,常用,见怪不怪,宋 洪迈《夷坚三志 己 姜七家猪》卷二：“畜生之言，何足为信，我已数月来知之矣。见怪不怪，其怪自坏。”,“见”，不能读作“xiàn”。,,,見恠不恠,ABCB式,,见怪不怪
一见如故,yī jiàn rú gù,故：故人；老朋友。初次相见就像老朋友一样。形容彼此一接触就情投意合。,他们俩一见如故，谈得很投机。,主谓式；作谓语、定语、状语；含褒义。,张果老；相逢何必曾相识,褒义,become fast friends at the first meeting,偏正式,四字,古代,常用,一见如故,先秦 左丘明《左传 襄公二十九年》： “聘于郑，见子产，如旧相识。”,“故”，不能读作“gǔ”。,“故”，不能写作“做”。,一见如故和“一见钟情”；都形容两人初次见面就很要好。但一见如故泛指一般朋友之间的情投意合；“一见钟情”专指男女之间的相爱。这两个成语不能换用。,一見如故,,,一见如故
名胜古迹,míng shèng gǔ jì,风景优美和有古代遗迹的著名的地方。,中国的名胜古迹值得我们去参观。,联合式；作宾语；指风景优美和有古代遗迹的著名地方。,,中性,famous scenic spots and places of historical interest,联合式,四字,当代,常用,名胜古迹,路遥《平凡的世界》第一卷第45章：“首都所有的名胜古迹都去了两次以上。”,“迹”，不能读作“jī”。,,,名勝古跡,,,
不依不饶,bù yī bù ráo,形容要求不遂就纠缠个没烷完。,王朔《永失我爱》：“‘我说不依不饶了吗？’石静委屈地说。”,作谓语、定语；用于对人的态度。,,中性,be hard on somebody（will never pardon）,联合式,四字,近代,常用,不依不饶,清·贪梦道人《彭公案》第36回：“这里黄三太见周应龙不依不饶，他就开口说：‘周寨主，……’”,,,,不依不饒,ABAC式,,
千钧一发,qiān jūn yī fà,钧：古时的计量单位；以三十斤为一钧。一根头发上拴着千钧重物。形容万分危急的情形。,正在千钧一发的时刻，一位不知名的解放军战士奋不顾身跳进冰冷的河水中，救起了落水儿童。,主谓式；作谓语、定语；用于人或事十分危急。,最韧的头发,中性,in a most dangerous condition,紧缩式,四字,古代,常用,千钧一发,宋 程珌《程端明公洛水集 丙子轮对札子》第11卷：“肆我祖宗得请于上帝，假手鞑靼，连岁屏除，岌岌之千钧一发矣。”,“发”，不能读作“fā”。,“钧”，不能写作“均”。,千钧一发和“危如累卵”；都比喻非常危险、危急。不同在于：①千钧一发偏重于“危急”；“危如累卵”偏重于“危险”；不能表示“紧急”。②千钧一发可跟“事”搭配；“危如累卵”不能。“危如累卵”可用于具体东西；千钧一发不能。,千鈞一發,,一根头发系石磨,千钧一发
狼吞虎咽,láng tūn hǔ yàn,像狼虎一样吞咽东西。形容吃东西又猛又急的样子。,走了这半日，肚中饥饿，狼吞虎咽吃了一回。（清 陈忱《水浒后传》第五回）,联合式；作谓语、状语、定语；形容吃东西的样子。,最不花钱的白吃,中性,garbage down,联合式,四字,近代,常用,狼吞虎咽,清 李宝嘉《官场现形记》第34回：“有一寸见方大小，和在饭里，不上一刻工夫，狼吞虎咽，居然吃个精光。”,“咽”，不能读作“yīn”、“yè”。,“吞”，不能写作“舌”。,狼吞虎咽和“饥不择食”有相似之处。而狼吞虎咽偏重在外表的形体动作。但“饥不择食”偏重在饿得急了；顾不上选择食物；除吃东西外；还可形容对其他方面的迫切需要。,狼吞虎嚥,,,
